,Ohio State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jantel Lavender,8,20,8,20,0,0,1,1,3,5,1,0,1,2,1,17,0.05,0.5
1,Samantha Prahalis,5,12,2,8,3,4,1,2,1,4,6,0,0,10,5,14,0.08333333333333333,0.6
2,Tayler Hill,3,8,3,7,0,1,5,6,1,2,5,0,1,5,1,11,0.625,1.0
3,Sarah Schulze,4,5,0,0,4,5,0,0,2,4,1,1,4,1,3,12,0.0,1.0
4,Brittany Johnson,4,8,1,3,3,5,0,0,2,2,2,1,0,4,1,11,0.0,0.5
10,School Totals,25,54,15,39,10,15,7,9,11,19,17,3,6,24,14,67,0.12962962962962962,0.7083333333333334
