,Connecticut ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Breanna Stewart,4,10,3,7,1,3,9,11,2,5,2,1,2,1,1,18,0.9,2.0
1,Bria Hartley,4,12,2,6,2,6,3,7,1,4,4,1,0,2,1,13,0.25,2.0
2,Kaleena Mosqueda-Lewis,5,11,4,8,1,3,4,4,2,3,2,0,0,1,1,15,0.36363636363636365,2.0
3,Stefanie Dolson,5,7,5,7,0,0,0,0,0,7,1,2,1,2,3,10,0.0,0.5
4,Moriah Jefferson,5,10,5,7,0,3,0,0,1,1,4,5,1,1,2,10,0.0,4.0
10,School Totals,27,54,23,39,4,15,17,24,8,22,15,10,5,7,10,75,0.3148148148148148,2.142857142857143
