,Oregon ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Maite Cazorla,3,7,1,1,2,6,1,2,0,2,3,0,0,0,1,9,0.14285714285714285,0.0
1,Sabrina Ionescu,9,19,4,10,5,9,6,6,3,7,12,3,0,2,2,29,0.3157894736842105,6.0
2,Erin Boley,5,10,1,2,4,8,0,0,1,2,2,0,0,1,2,14,0.0,2.0
3,Satou Sabally,8,14,6,8,2,6,1,4,2,6,3,1,4,3,3,19,0.07142857142857142,1.0
4,Ruthy Hebard,4,9,4,9,0,0,0,0,1,9,1,1,1,3,3,8,0.0,0.3333333333333333
8,School Totals,34,66,21,37,13,29,10,14,8,30,22,5,5,11,15,91,0.15151515151515152,2.0
