,Indiana ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Ali Patberg,8,18,8,15,0,3,0,0,0,3,5,1,0,3,2,16,0.0,1.6666666666666667
1,Jaelynn Penn,6,16,3,8,3,8,0,0,0,6,0,2,1,1,2,15,0.0,0.0
2,Brenna Wise,1,6,0,2,1,4,2,2,3,3,1,1,1,2,2,5,0.3333333333333333,0.5
3,Kym Royster,3,3,3,3,0,0,2,2,0,1,2,0,0,2,0,8,0.6666666666666666,1.0
4,Bendu Yeaney,5,7,5,6,0,1,0,0,0,0,0,0,0,2,2,10,0.0,0.0
9,School Totals,29,63,25,46,4,17,6,12,4,20,9,4,2,11,14,68,0.09523809523809523,0.8181818181818182
