,Kentucky ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Janee Thompson,4,14,3,9,1,5,7,8,0,3,4,0,0,2,2,16,0.5,2.0
1,Makayla Epps,1,6,0,3,1,3,10,14,2,5,4,0,0,2,1,13,1.6666666666666667,2.0
2,Evelyn Akhator,5,10,5,10,0,0,1,3,2,2,3,0,0,0,3,11,0.1,0.0
3,Maci Morris,4,6,0,1,4,5,0,0,0,1,0,0,0,2,3,12,0.0,0.0
4,Batouly Camara,2,4,2,4,0,0,1,2,0,4,0,1,1,0,4,5,0.25,0.0
8,School Totals,22,58,16,45,6,13,29,38,8,28,12,3,8,10,17,79,0.5,1.2
