,Oklahoma ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Gabbi Ortiz,1,9,1,6,0,3,0,0,1,4,2,0,0,2,3,2,0.0,1.0
1,Peyton Little,3,8,1,3,2,5,2,2,2,0,2,1,0,0,3,10,0.25,0.0
2,Maddie Manning,1,10,1,7,0,3,7,8,3,4,5,2,0,2,4,9,0.7,2.5
3,Gioya Carter,4,15,3,9,1,6,3,4,1,2,1,0,0,1,4,12,0.2,1.0
4,Kaylon Williams,4,10,4,10,0,0,1,1,6,3,1,1,1,4,3,9,0.1,0.25
10,School Totals,18,66,12,44,6,22,16,19,15,22,11,4,5,12,26,58,0.24242424242424243,0.9166666666666666
