,Portland State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Eryn Jones,5,12,2,8,3,4,2,2,0,2,0,1,0,2,0,15,0.16666666666666666,0.0
1,Claire Faucher,6,19,3,5,3,14,0,0,0,3,7,4,0,7,4,15,0.0,1.0
2,Erin Yankus,0,1,0,1,0,0,0,0,3,2,0,0,1,1,1,0,0.0,0.0
3,Lexi Bishop,3,4,1,1,2,3,0,0,0,1,0,0,0,3,1,8,0.0,0.0
4,Kate DePaepe,0,4,0,3,0,1,0,0,1,1,0,0,0,2,1,0,0.0,0.0
12,School Totals,21,63,12,36,9,27,2,4,8,21,8,9,4,20,19,53,0.031746031746031744,0.4
