,Brigham Young ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kim Beeston,6,13,2,5,4,8,0,0,1,2,1,0,0,2,2,16,0.0,0.5
1,Jennifer Hamson,4,8,4,8,0,0,1,5,2,11,1,0,6,2,4,9,0.125,0.5
2,Kylie Maeda,2,6,2,5,0,1,0,0,2,2,4,2,0,2,1,4,0.0,2.0
3,Morgan Bailey,5,9,3,4,2,5,2,2,1,6,1,0,0,3,4,14,0.2222222222222222,0.3333333333333333
4,Lexi Rydalch,4,14,4,11,0,3,0,0,2,0,1,0,0,4,4,8,0.0,0.25
11,School Totals,21,57,15,37,6,20,3,7,9,25,12,3,6,17,19,51,0.05263157894736842,0.7058823529411765
