,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Notre Dame ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Marina Mabrey,40,9,15,.600,2,4,.500,7,11,.636,0,0,,0,0,0,9,3,0,3,2,25
1,Jessica Shepard,38,6,13,.462,6,13,.462,0,0,,1,2,.500,2,8,10,3,1,2,1,0,13
2,Arike Ogunbowale,37,10,23,.435,7,18,.389,3,5,.600,4,4,1.000,2,4,6,5,0,0,1,3,27
3,Jackie Young,37,7,13,.538,7,11,.636,0,2,.000,1,2,.500,3,5,8,5,0,0,0,3,15
4,Kathryn Westbeld,32,2,3,.667,2,3,.667,0,0,,0,0,,2,4,6,3,1,0,1,4,4
6,Danielle Patterson,8,2,2,1.000,2,2,1.000,0,0,,0,0,,0,0,0,0,0,1,1,0,4
7,Kristina Nelson,8,1,1,1.000,1,1,1.000,0,0,,0,0,,0,3,3,1,0,0,1,3,2
8,School Totals,200,37,70,.529,27,52,.519,10,18,.556,6,8,.750,9,24,33,26,5,3,8,15,90
