,Tennessee ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Diamond DeShields,9,17,9,15,0,2,6,7,0,5,1,3,0,0,3,24,0.35294117647058826,0.0
1,Mercedes Russell,5,9,5,9,0,0,2,2,2,4,3,1,2,1,4,12,0.2222222222222222,3.0
2,Jaime Nared,4,10,3,9,1,1,2,2,4,2,2,0,0,2,3,11,0.2,1.0
3,Jordan Reynolds,4,7,4,7,0,0,4,5,0,3,2,2,0,2,0,12,0.5714285714285714,1.0
4,Bashaara Graves,3,4,3,4,0,0,2,2,4,7,1,1,1,2,2,8,0.5,0.5
11,School Totals,29,56,28,52,1,4,16,18,10,24,11,8,3,11,18,75,0.2857142857142857,1.0
