,Arizona State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Elisha Davis,7,10,4,5,3,5,1,2,0,3,6,3,1,6,5,18,0.1,1.0
1,Katie Hempen,1,8,0,4,1,4,0,0,1,0,4,0,0,2,5,3,0.0,2.0
2,Sophie Brunner,4,10,4,9,0,1,4,4,1,6,0,0,0,0,3,12,0.4,0.0
3,Arnecia Hawkins,4,14,1,8,3,6,2,2,0,1,3,1,0,1,2,13,0.14285714285714285,3.0
4,Kelsey Moos,0,2,0,2,0,0,0,0,2,1,0,0,0,1,2,0,0.0,0.0
10,School Totals,23,59,15,39,8,20,10,12,9,15,15,6,1,13,22,64,0.1694915254237288,1.1538461538461537
