,Arizona State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Courtney Ekmark,8,13,4,6,4,7,0,0,2,5,1,1,0,0,1,20,0.0,0.0
1,Kianna Ibis,4,11,4,11,0,0,4,5,4,6,1,1,2,0,2,12,0.36363636363636365,0.0
2,Reili Richardson,0,2,0,0,0,2,2,2,0,4,5,0,0,1,0,2,1.0,5.0
3,Robbi Ryan,0,3,0,1,0,2,0,0,0,2,1,0,0,3,1,0,0.0,0.3333333333333333
4,Charnea Johnson-Chapman,3,7,3,7,0,0,2,2,3,2,0,0,0,4,4,8,0.2857142857142857,0.0
11,School Totals,22,51,16,38,6,13,10,12,12,27,12,3,3,18,13,60,0.19607843137254902,0.6666666666666666
