,Stanford ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Chiney Ogwumike,5,12,4,9,1,3,4,6,3,7,4,0,0,3,3,15,0.3333333333333333,1.3333333333333333
1,Lili Thompson,5,9,3,5,2,4,0,0,1,1,1,0,0,1,3,12,0.0,1.0
2,Amber Orrange,5,14,3,9,2,5,4,4,2,1,5,2,0,2,4,16,0.2857142857142857,2.5
3,Mikaela Ruef,3,9,3,4,0,5,0,0,0,5,3,2,1,4,3,6,0.0,0.75
4,Sara James,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,1.0
13,School Totals,21,55,15,30,6,25,8,10,8,20,14,5,2,13,16,56,0.14545454545454545,1.0769230769230769
