,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,A'ja Wilson,37,.439,.455,.000,.727,20.6,34.0,26.7,24.6,3.2,6.8,29.2,26.0,82,65,
1,Allisha Gray,35,.583,.536,.286,.214,10.9,13.1,11.9,15.2,0.0,2.4,0.0,20.5,146,86,
2,Kaela Davis,33,.188,.133,.133,.133,2.9,6.9,4.7,11.8,1.8,2.5,11.2,25.4,54,85,
3,Tyasha Harris,32,.420,.350,.300,.400,0.0,10.7,4.9,6.5,1.8,0.0,0.0,17.2,113,84,
4,Bianca Cuevas-Moore,26,.583,.583,.333,.000,3.7,8.8,6.0,0.0,4.5,0.0,0.0,10.8,140,79,
6,Doniyah Cliney,26,.339,.250,.500,1.000,11.0,4.4,8.0,7.2,0.0,0.0,41.0,17.6,56,92,
7,Mikiah Herbert Harrigan,11,.667,.667,.000,.000,8.7,0.0,4.7,0.0,0.0,0.0,25.0,17.1,102,94,
8,School Totals,200,.425,.389,.206,.333,42.9,65.7,53.2,43.5,8.8,10.4,15.1,100.0,91.2,77.9,
