,Tennessee State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brianna Lawrence,5,10,1,3,4,7,2,2,0,4,1,1,0,3,3,16,0.2,0.3333333333333333
1,Briana Morrow,5,9,5,9,0,0,1,2,1,0,0,1,1,2,3,11,0.1111111111111111,0.0
2,Rachel Allen,2,7,1,5,1,2,0,0,1,1,4,1,0,5,5,5,0.0,0.8
3,Chelsea Hudson,2,14,2,10,0,4,4,5,3,3,2,3,0,5,3,8,0.2857142857142857,0.4
4,I'mani Davis,0,8,0,6,0,2,1,2,2,3,0,0,0,1,3,1,0.125,0.0
12,School Totals,18,69,11,45,7,24,9,13,10,17,12,9,1,26,27,52,0.13043478260869565,0.46153846153846156
