,Buffalo ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Katherine Ups,2,11,1,6,1,5,0,0,4,0,1,0,0,1,1,5,0.0,1.0
1,Joanna Smith,6,18,3,11,3,7,8,9,0,1,0,1,0,3,4,23,0.4444444444444444,0.0
2,Stephanie Reid,1,5,1,4,0,1,0,0,2,1,6,1,0,3,2,2,0.0,2.0
3,Cassie Oursler,3,4,3,4,0,0,0,0,0,4,1,0,2,1,4,6,0.0,1.0
4,Brittany Morrison,0,5,0,5,0,0,0,0,2,5,1,1,0,0,3,0,0.0,0.0
13,School Totals,22,74,13,46,9,28,16,22,18,26,11,4,2,16,24,69,0.21621621621621623,0.6875
