,Iowa ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Samantha Logic,6,11,6,10,0,1,0,3,0,5,3,5,0,9,4,12,0.0,0.3333333333333333
1,Ally Disterhoft,5,10,5,9,0,1,5,7,5,3,0,0,1,1,5,15,0.5,0.0
2,Melissa Dixon,1,9,0,1,1,8,2,2,0,1,2,1,0,0,3,5,0.2222222222222222,0.0
3,Theairra Taylor,4,11,4,8,0,3,2,2,2,2,1,1,0,5,1,10,0.18181818181818182,0.2
4,Bethany Doolitte,3,9,3,9,0,0,3,4,1,2,1,0,1,2,5,9,0.3333333333333333,0.5
9,School Totals,19,57,18,41,1,16,14,20,11,17,7,7,2,19,23,53,0.24561403508771928,0.3684210526315789
