,California ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kianna Smith,7,13,5,9,2,4,2,4,0,2,1,2,1,1,2,18,0.15384615384615385,1.0
1,Recee' Caldwell,5,10,3,5,2,5,0,0,0,1,5,0,0,3,0,12,0.0,1.6666666666666667
2,Kristine Anigwe,4,17,4,16,0,1,5,10,2,3,0,0,2,1,4,13,0.29411764705882354,0.0
3,Jaelyn Brown,2,5,2,3,0,2,4,4,0,5,0,1,0,4,3,8,0.8,0.0
4,Asha Thomas,3,5,2,3,1,2,0,0,0,1,2,0,0,1,1,7,0.0,2.0
10,School Totals,23,55,18,40,5,15,12,19,4,14,8,4,3,14,18,63,0.21818181818181817,0.5714285714285714
