,Baylor ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Juicy Landrum,8,14,4,6,4,8,0,0,0,4,7,1,0,0,0,20,0.0,0.0
1,Chloe Jackson,8,12,8,12,0,0,2,3,0,3,6,1,0,0,2,18,0.16666666666666666,0.0
2,DiDi Richards,3,6,3,6,0,0,3,4,1,1,2,3,0,3,2,9,0.5,0.6666666666666666
3,Kalani Brown,3,7,3,7,0,0,2,2,2,6,3,0,5,1,2,8,0.2857142857142857,3.0
4,Lauren Cox,5,6,5,6,0,0,0,0,2,5,5,1,1,2,2,10,0.0,2.5
12,School Totals,41,75,36,63,5,12,15,19,17,28,25,6,8,9,15,102,0.2,2.7777777777777777
