,Delaware ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Elena Delle Donne,9,18,8,13,1,5,15,18,2,8,1,0,2,6,0,34,0.8333333333333334,0.16666666666666666
1,Lauren Carra,2,11,1,2,1,9,2,2,0,5,1,0,0,1,4,7,0.18181818181818182,1.0
2,Danielle Parker,2,6,2,6,0,0,0,0,6,4,1,2,0,0,3,4,0.0,0.0
3,Trumae Lucas,3,11,3,11,0,0,2,2,0,1,1,0,0,2,3,8,0.18181818181818182,0.5
4,Akeema Richards,2,3,2,3,0,0,0,0,0,3,2,0,0,0,0,4,0.0,0.0
8,School Totals,21,56,19,42,2,14,20,24,12,28,10,3,2,12,14,64,0.35714285714285715,0.8333333333333334
