,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Rosalyn Gold-Onwude,33,.932,.962,.692,.154,0.0,4.2,2.0,24.2,1.7,3.2,6.7,20.4,179,100
1,Jeanette Pohlen,33,.917,.917,.500,.000,0.0,16.7,8.1,27.2,3.4,0.0,40.0,13.7,122,93
2,Nnemkadi Ogwumike,30,.682,.643,.000,.429,21.5,18.4,20.0,38.9,0.0,3.5,5.7,26.6,163,99
3,Kayla Pedersen,25,.657,.583,.167,.833,10.3,22.1,16.0,10.3,0.0,0.0,26.8,20.3,116,99
4,Jayne Appel,23,.594,.615,.000,.077,16.8,24.0,20.3,23.6,0.0,9.2,6.9,28.4,133,94
6,JJ Hones,12,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,13.9,0.0,0.0,7.5,0,74
7,Joslyn Tinkle,11,.545,.600,.200,.600,23.5,0.0,12.1,0.0,0.0,0.0,24.0,34.2,90,107
8,Melanie Murphy,9,.000,.000,.000,.000,0.0,30.7,14.8,12.3,0.0,0.0,0.0,5.0,85,95
9,Michelle Harrison,7,.000,.000,.000,.000,18.4,0.0,9.5,15.9,0.0,0.0,50.0,12.9,62,107
10,Ashley Cimino,6,1.053,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,250,108
11,Lindy La Rocque,5,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,18.1,0,107
12,Grace Mashore,2,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6,0,108
13,Hannah Donaghe,2,,,,,64.5,0.0,33.3,0.0,0.0,0.0,,0.0,224,108
14,Mikaela Ruef,2,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,66.7,67.9,0,108
15,School Totals,200,.657,.648,.281,.297,45.2,65.5,55.0,72.2,8.3,10.5,18.0,100.0,133.3,93.1
