,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Amanda Thompson,39,.367,.367,.267,.000,16.0,31.1,23.7,14.1,3.0,2.6,21.1,24.7,79,77
1,Danielle Robinson,38,.482,.462,.000,.077,3.3,15.9,9.7,40.7,6.1,0.0,22.9,23.3,97,78
2,Jasmine Hartman,37,.333,.333,.333,.000,6.8,3.3,5.0,4.4,0.0,2.8,0.0,8.2,96,97
3,Nyeshia Stevenson,35,.569,.536,.714,.143,0.0,10.4,5.3,5.7,6.6,2.9,11.8,24.5,108,77
4,Abi Olajuwon,20,.630,.600,.000,.400,6.3,18.2,12.3,0.0,0.0,5.1,7.8,32.4,122,88
6,Joanna McFarland,19,.759,.667,.000,.667,6.6,6.4,6.5,9.2,0.0,0.0,0.0,10.4,174,97
7,Carlee Roethlisberger,11,1.053,,,,0.0,11.0,5.6,13.5,0.0,0.0,69.4,13.3,78,95
8,Lauren Willis,1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,100
9,School Totals,200,.513,.475,.262,.180,31.3,72.7,52.3,55.6,14.3,10.3,16.4,100.0,97.1,81.4
