,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Tennessee ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Katie McWilliams,40,.759,.750,.333,.667,0.0,2.3,1.4,35.3,1.5,0.0,20.5,14.1,136,102,
1,Taya Corosdale,40,.707,.625,.500,.500,7.7,16.3,13.0,5.3,1.5,0.0,29.1,10.0,114,91,
2,Kat Tudor,37,.469,.318,.727,.545,0.0,7.5,4.7,0.0,1.6,0.0,0.0,21.3,106,98,
3,Marie Gulich,33,.642,.556,.000,.444,18.6,22.6,21.1,8.1,0.0,9.9,0.0,18.9,150,85,
4,Mikayla Pivec,30,.628,.636,.273,.636,0.0,21.7,13.5,41.0,0.0,0.0,39.0,44.5,79,91,
6,Aleah Goodman,13,.200,.200,.800,.000,0.0,7.2,4.5,17.2,9.3,0.0,0.0,22.3,56,81,
7,Joanna Grymek,7,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,108,
8,School Totals,200,.580,.511,.413,.500,23.1,62.8,47.8,61.9,7.6,8.2,18.6,100.0,100.0,89.4,
