,Texas A&M ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Adaora Elonu,9,17,9,17,0,0,5,5,2,5,1,1,2,2,2,23,0.29411764705882354,0.5
1,Sydney Carter,0,4,0,2,0,2,6,6,0,3,4,3,0,2,2,6,1.5,2.0
2,Tyra White,1,2,1,2,0,0,1,2,2,4,0,0,0,8,3,3,0.5,0.0
3,Kelsey Bone,3,12,3,12,0,0,2,4,5,5,3,0,0,1,2,8,0.16666666666666666,3.0
4,Alexia Standish,2,5,0,0,2,5,0,0,0,0,1,1,0,3,2,6,0.0,0.3333333333333333
8,School Totals,21,49,19,40,2,9,17,20,9,24,16,6,2,17,15,61,0.3469387755102041,0.9411764705882353
