,Arkansas ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Lyndsay Harris,4,9,2,3,2,6,3,4,0,3,1,0,0,2,4,13,0.3333333333333333,0.5
1,C'eira Ricketts,3,13,2,11,1,2,3,3,0,2,3,2,0,2,0,10,0.23076923076923078,1.5
2,Ashley Daniels,1,4,1,4,0,0,3,4,0,3,0,0,0,1,3,5,0.75,0.0
3,Sarah Watkins,3,11,3,10,0,1,4,4,3,1,0,4,0,1,5,10,0.36363636363636365,0.0
4,Dominique Robinson,2,3,2,3,0,0,3,3,4,1,2,1,1,2,0,7,1.0,1.0
8,School Totals,20,56,17,42,3,14,16,19,9,19,11,11,1,13,15,59,0.2857142857142857,0.8461538461538461
