,Mississippi State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Victoria Vivians,4,16,3,11,1,5,3,4,1,3,1,0,0,5,2,12,0.1875,0.2
1,Dominique Dillingham,5,10,4,8,1,2,0,0,3,1,0,1,0,0,3,11,0.0,0.0
2,Teaira McCowan,2,6,2,6,0,0,3,4,1,9,1,0,0,0,3,7,0.5,0.0
3,Morgan William,2,6,2,5,0,1,4,4,0,0,4,1,1,1,1,8,0.6666666666666666,4.0
4,Breanna Richardson,1,5,1,4,0,1,2,2,1,1,1,1,0,1,4,4,0.4,1.0
13,School Totals,19,55,17,43,2,12,15,18,9,17,8,4,3,9,19,55,0.2727272727272727,0.8888888888888888
