,Auburn ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Katie Frerking,2,10,1,5,1,5,4,6,0,4,0,2,2,2,3,9,0.4,0.0
1,Jessica Jones,1,6,1,6,0,0,0,0,1,3,0,2,0,2,3,2,0.0,0.0
2,Brandy Montgomery,0,8,0,3,0,5,0,0,1,4,0,0,0,2,2,0,0.0,0.0
3,Janiah McKay,4,13,4,13,0,0,4,4,0,2,2,1,0,2,4,12,0.3076923076923077,1.0
4,Khady Dieng,1,3,1,3,0,0,3,4,1,1,0,0,0,0,2,5,1.0,0.0
10,School Totals,15,61,13,44,2,17,16,20,10,18,8,10,3,10,21,48,0.26229508196721313,0.8
