,NC State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Dominique Wilson,8,18,5,10,3,8,4,4,1,4,1,1,0,2,1,23,0.2222222222222222,0.5
1,Ashley Williams,1,8,0,0,1,8,0,0,2,8,0,0,0,1,1,3,0.0,0.0
2,Jennifer Mathurin,3,9,2,3,1,6,2,2,3,7,1,0,0,5,1,9,0.2222222222222222,0.2
3,Miah Spencer,3,5,1,3,2,2,5,5,1,6,3,0,0,3,3,13,1.0,1.0
4,Chelsea Nelson,4,4,4,4,0,0,0,0,1,1,1,0,0,2,4,8,0.0,0.5
13,School Totals,20,53,13,25,7,28,15,15,10,34,9,3,1,20,19,62,0.2830188679245283,0.45
