,Belmont ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jenny Roy,3,4,3,4,0,0,1,2,1,1,8,0,0,2,1,7,0.25,4.0
1,Darby Maggard,5,11,2,3,3,8,0,0,0,0,1,1,0,3,3,13,0.0,0.3333333333333333
2,Ellie Harmeyer,2,8,1,4,1,4,4,4,1,4,0,0,0,2,3,9,0.5,0.0
3,Maddie Wright,2,9,2,7,0,2,0,0,3,1,1,1,0,3,2,4,0.0,0.3333333333333333
4,Maura Muensterman,1,6,0,1,1,5,0,0,1,1,0,0,1,0,1,3,0.0,0.0
10,School Totals,18,52,11,27,7,25,9,11,7,10,11,3,2,14,13,52,0.17307692307692307,0.7857142857142857
