,South Carolina ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Te'a Cooper,7,12,6,9,1,3,0,0,1,2,0,1,0,4,4,15,0.0,0.0
1,Doniyah Cliney,5,5,5,5,0,0,0,0,0,4,2,2,0,2,1,10,0.0,1.0
2,Tyasha Harris,4,8,2,3,2,5,2,2,0,2,6,1,0,1,2,12,0.25,6.0
3,Destanni Henderson,1,4,0,0,1,4,0,0,1,1,2,1,0,0,1,3,0.0,0.0
4,Alexis Jennings,4,6,4,6,0,0,4,5,4,5,1,1,2,2,1,12,0.6666666666666666,0.5
12,School Totals,31,56,26,41,5,15,7,11,13,22,14,6,6,14,16,74,0.125,1.0
