,James Madison ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Angela Mickens,3,14,3,14,0,0,4,8,1,0,5,1,0,2,4,10,0.2857142857142857,2.5
1,Ashley Perez,6,16,4,10,2,6,6,8,1,3,0,2,0,1,1,20,0.375,0.0
2,Da'Lishia Griffin,1,7,1,5,0,2,0,0,6,4,1,0,0,1,2,2,0.0,1.0
3,Kayla Cooper-Williams,3,7,3,7,0,0,4,6,5,5,0,0,2,0,2,10,0.5714285714285714,0.0
4,Jazmon Gwathmey,8,17,6,13,2,4,1,2,0,3,1,1,3,1,5,19,0.058823529411764705,1.0
11,School Totals,22,72,18,55,4,17,19,28,16,23,7,5,6,7,19,67,0.2638888888888889,1.0
