,Unnamed: 0_level_0,Unnamed: 1_level_0,Four Factors,Four Factors,Four Factors,Four Factors,Unnamed: 6_level_0
,Unnamed: 0_level_1,Pace,eFG%,TOV%,ORB%,FT/FGA,ORtg
0,Idaho,68.5,0.396,25.4,11.8,0.083,60.9
1,Louisville,68.5,0.618,11.2,40.0,0.059,127.5
