,Texas A&M ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Tanisha Smith,6,13,4,9,2,4,3,6,1,9,9,3,0,4,1,17,0.23076923076923078,2.25
1,Adaora Elonu,4,7,4,7,0,0,7,10,1,3,0,2,0,0,2,15,1.0,0.0
2,Tyra White,3,5,3,4,0,1,0,0,1,2,3,0,0,2,1,6,0.0,1.5
3,Sydney Carter,1,5,1,4,0,1,0,0,1,4,4,1,0,1,2,2,0.0,4.0
4,Damitria Buchanan,1,2,1,2,0,0,0,0,3,2,0,1,1,2,1,2,0.0,0.0
14,School Totals,31,62,28,52,3,10,19,32,13,31,21,14,2,11,11,84,0.3064516129032258,1.9090909090909092
