,Louisville ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Myisha Hines-Allen,12,17,12,17,0,0,1,1,1,6,1,1,0,0,0,25,0.058823529411764705,0.0
1,Mariya Moore,4,7,3,3,1,4,7,8,3,1,4,1,0,2,1,16,1.0,2.0
2,Arica Carter,2,5,1,4,1,1,0,0,1,1,4,1,1,2,0,5,0.0,2.0
3,Cortnee Walton,1,5,1,5,0,0,2,3,3,3,0,0,2,1,1,4,0.4,0.0
4,Briahanna Jackson,1,3,1,2,0,1,2,2,1,3,5,1,0,1,2,4,0.6666666666666666,5.0
11,School Totals,34,62,31,52,3,10,16,21,10,30,22,7,6,10,14,87,0.25806451612903225,2.2
