,Arizona ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Aari McDonald,5,21,1,12,4,9,8,12,0,3,2,2,0,2,3,22,0.38095238095238093,1.0
1,Sam Thomas,0,3,0,1,0,2,0,0,2,5,0,1,1,0,2,0,0.0,0.0
2,Bendu Yeaney,1,5,1,4,0,1,0,0,0,2,1,5,0,0,1,2,0.0,0.0
3,Trinity Baptiste,3,8,2,5,1,3,0,0,0,4,2,0,0,1,2,7,0.0,2.0
4,Cate Reese,2,6,2,4,0,2,0,0,1,0,0,1,0,2,1,4,0.0,0.0
8,School Totals,17,60,11,38,6,22,13,18,5,22,5,12,2,6,11,53,0.21666666666666667,0.8333333333333334
