,Missouri ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sophie Cunningham,5,10,4,6,1,4,10,10,0,3,4,1,0,4,5,21,1.0,1.0
1,Lauren Aldridge,4,10,0,1,4,9,0,0,1,1,2,2,1,4,0,12,0.0,0.5
2,Jordan Roundtree,3,5,3,4,0,1,1,3,0,4,2,2,0,4,1,7,0.2,0.5
3,Cierra Porter,7,9,6,8,1,1,3,3,2,2,0,0,3,0,5,18,0.3333333333333333,0.0
4,Amber Smith,5,14,4,12,1,2,0,0,1,3,4,1,1,1,2,11,0.0,4.0
9,School Totals,27,58,18,33,9,25,14,16,7,22,15,10,5,18,16,77,0.2413793103448276,0.8333333333333334
