,Mississippi State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Victoria Vivians,9,23,6,14,3,9,3,3,2,4,6,2,0,1,3,24,0.13043478260869565,6.0
1,Morgan William,13,22,7,14,6,8,9,10,1,2,7,1,1,0,4,41,0.4090909090909091,0.0
2,Breanna Richardson,4,10,4,10,0,0,0,0,1,4,0,0,1,0,3,8,0.0,0.0
3,Teaira McCowan,3,7,3,7,0,0,4,5,0,5,0,2,1,1,4,10,0.5714285714285714,0.0
4,Dominique Dillingham,0,3,0,2,0,1,0,0,1,1,0,0,0,1,1,0,0.0,0.0
10,School Totals,32,74,22,54,10,20,20,24,10,20,14,6,3,4,19,94,0.2702702702702703,3.5
