,Oregon ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Maite Cazorla,4,10,4,7,0,3,0,0,0,1,4,1,1,6,0,8,0.0,0.6666666666666666
1,Sabrina Ionescu,5,10,2,5,3,5,2,2,0,8,3,0,0,6,2,15,0.2,0.5
2,Lexi Bando,2,4,1,3,1,1,1,1,1,0,0,0,0,1,1,6,0.25,0.0
3,Ruthy Hebard,6,13,6,13,0,0,0,0,0,2,0,0,0,3,1,12,0.0,0.0
4,Mallory McGwire,2,5,2,5,0,0,0,0,0,3,4,0,2,3,3,4,0.0,1.3333333333333333
12,School Totals,22,52,17,42,5,10,3,4,2,19,12,2,5,22,12,52,0.057692307692307696,0.5454545454545454
