,Connecticut ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Saniya Chong,4,7,1,2,3,5,0,0,2,2,4,3,0,2,1,11,0.0,2.0
1,Napheesa Collier,12,20,10,16,2,4,2,2,4,8,2,2,4,1,1,28,0.1,2.0
2,Katie Lou Samuelson,4,13,4,9,0,4,0,0,1,2,4,5,0,0,0,8,0.0,0.0
3,Gabby Williams,9,13,9,13,0,0,7,7,2,4,3,4,0,3,3,25,0.5384615384615384,1.0
4,Kia Nurse,4,5,2,2,2,3,1,2,0,1,7,1,0,0,1,11,0.2,0.0
10,School Totals,36,66,29,47,7,19,11,15,12,24,21,16,6,6,7,90,0.16666666666666666,3.5
