,Texas ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Chassidy Fussell,5,14,3,7,2,7,1,1,1,1,1,3,0,0,0,13,0.07142857142857142,0.0
1,Nneka Enemkpali,3,5,3,5,0,0,3,4,6,4,1,0,1,3,3,9,0.6,0.3333333333333333
2,Imani Boyette,3,5,3,5,0,0,0,0,2,4,2,0,3,2,5,6,0.0,1.0
3,Brady Sanders,1,10,1,7,0,3,6,6,2,2,2,0,0,4,1,8,0.6,0.5
4,Celina Rodrigo,0,3,0,2,0,1,0,0,0,2,1,0,0,1,1,0,0.0,1.0
11,School Totals,21,58,13,37,8,21,14,17,12,18,12,7,4,14,22,64,0.2413793103448276,0.8571428571428571
