,TEAM,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV,YEAR,FG%,2P%,3P%,FT%,RB_O2D,FT_MAX,FTA_MAX,ORB_MAX,DRB_MAX,AST_MAX,STL_MAX,BLK_MAX,TOV_MAX,PF_MAX,PTS_MAX,FT/FGA_MAX,AST/TOV_MAX,FG%_MAX,2P%_MAX,3P%_MAX,FT%_MAX,RB_O2D_MAX,TEAM_OPP,FT_OPP,FTA_OPP,ORB_OPP,DRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP,PTS_OPP,FT/FGA_OPP,AST/TOV_OPP,FG%_OPP,2P%_OPP,3P%_OPP,FT%_OPP,RB_O2D_OPP,FT_MAX_OPP,FTA_MAX_OPP,ORB_MAX_OPP,DRB_MAX_OPP,AST_MAX_OPP,STL_MAX_OPP,BLK_MAX_OPP,TOV_MAX_OPP,PF_MAX_OPP,PTS_MAX_OPP,FT/FGA_MAX_OPP,AST/TOV_MAX_OPP,FG%_MAX_OPP,2P%_MAX_OPP,3P%_MAX_OPP,FT%_MAX_OPP,RB_O2D_MAX_OPP,WIN,GAME_ID
10,Chattanooga ,7,11,10,30,12,4,1,23,17,63,0.1166666666666666,0.5217391304347826,2010,0.38333333333333336,0.5,0.29411764705882354,0.6363636363636364,0.3333333333333333,2,5,3,8,3,2,1,5,4,15,1.0,0.6666666666666666,0.5,1.0,1.0,1.0,0.6666666666666666,Oklahoma State ,16,23,13,23,19,13,3,10,14,70,0.2285714285714285,1.9,0.38571428571428573,0.4909090909090909,0.0,0.6956521739130435,0.5652173913043478,7,10,4,5,10,3,1,4,3,25,0.6666666666666666,10.0,1.0,1.0,0.0,1.0,0.8,False,5
11,Oklahoma State ,16,23,13,23,19,13,3,10,14,70,0.2285714285714285,1.9,2010,0.38571428571428573,0.4909090909090909,0.0,0.6956521739130435,0.5652173913043478,7,10,4,5,10,3,1,4,3,25,0.6666666666666666,10.0,1.0,1.0,0.0,1.0,0.8,Chattanooga ,7,11,10,30,12,4,1,23,17,63,0.1166666666666666,0.5217391304347826,0.38333333333333336,0.5,0.29411764705882354,0.6363636363636364,0.3333333333333333,2,5,3,8,3,2,1,5,4,15,1.0,0.6666666666666666,0.5,1.0,1.0,1.0,0.6666666666666666,True,5
12,Cleveland State ,12,16,10,22,15,8,1,24,17,58,0.2033898305084746,0.625,2010,0.3728813559322034,0.45454545454545453,0.13333333333333333,0.75,0.45454545454545453,6,7,4,6,8,4,1,6,4,31,1.0,1.6,0.5217391304347826,0.6111111111111112,0.2,1.0,1.0,Notre Dame ,17,23,10,28,25,13,2,14,15,86,0.265625,1.7857142857142858,0.515625,0.5660377358490566,0.2727272727272727,0.7391304347826086,0.35714285714285715,5,5,2,6,8,3,1,5,4,13,1.25,4.0,0.6666666666666666,0.6666666666666666,0.25,1.0,2.0,False,6
13,Notre Dame ,17,23,10,28,25,13,2,14,15,86,0.265625,1.7857142857142858,2010,0.515625,0.5660377358490566,0.2727272727272727,0.7391304347826086,0.35714285714285715,5,5,2,6,8,3,1,5,4,13,1.25,4.0,0.6666666666666666,0.6666666666666666,0.25,1.0,2.0,Cleveland State ,12,16,10,22,15,8,1,24,17,58,0.2033898305084746,0.625,0.3728813559322034,0.45454545454545453,0.13333333333333333,0.75,0.45454545454545453,6,7,4,6,8,4,1,6,4,31,1.0,1.6,0.5217391304347826,0.6111111111111112,0.2,1.0,1.0,True,6
14,Dayton ,6,10,8,25,9,6,5,15,16,64,0.0923076923076923,0.6,2010,0.4153846153846154,0.4423076923076923,0.3076923076923077,0.6,0.32,2,3,2,9,3,1,2,3,5,17,0.25,1.0,0.7272727272727273,0.8888888888888888,1.0,1.0,1.0,Tennessee ,4,12,15,28,20,10,10,9,16,92,0.0526315789473684,2.2222222222222223,0.5394736842105263,0.5384615384615384,0.5454545454545454,0.3333333333333333,0.5357142857142857,1,3,4,8,7,3,6,2,4,17,0.1428571428571428,4.0,0.6,0.6,0.75,1.0,1.0,False,7
15,Tennessee ,4,12,15,28,20,10,10,9,16,92,0.0526315789473684,2.2222222222222223,2010,0.5394736842105263,0.5384615384615384,0.5454545454545454,0.3333333333333333,0.5357142857142857,1,3,4,8,7,3,6,2,4,17,0.1428571428571428,4.0,0.6,0.6,0.75,1.0,1.0,Dayton ,6,10,8,25,9,6,5,15,16,64,0.0923076923076923,0.6,0.4153846153846154,0.4423076923076923,0.3076923076923077,0.6,0.32,2,3,2,9,3,1,2,3,5,17,0.25,1.0,0.7272727272727273,0.8888888888888888,1.0,1.0,1.0,True,7
16,DePaul ,7,11,14,22,18,8,5,16,25,76,0.0921052631578947,1.125,2010,0.40789473684210525,0.42105263157894735,0.3684210526315789,0.6363636363636364,0.6363636363636364,3,4,5,4,5,2,3,3,5,24,0.2307692307692307,1.6666666666666667,0.6153846153846154,0.6153846153846154,0.5,1.0,1.6666666666666667,Vanderbilt ,22,33,11,28,21,9,2,16,17,83,0.3492063492063492,1.3125,0.4444444444444444,0.5609756097560976,0.22727272727272727,0.6666666666666666,0.39285714285714285,9,11,4,8,6,3,1,5,3,26,0.6428571428571429,3.0,1.0,1.0,0.375,0.8333333333333334,0.6666666666666666,False,8
17,Vanderbilt ,22,33,11,28,21,9,2,16,17,83,0.3492063492063492,1.3125,2010,0.4444444444444444,0.5609756097560976,0.22727272727272727,0.6666666666666666,0.39285714285714285,9,11,4,8,6,3,1,5,3,26,0.6428571428571429,3.0,1.0,1.0,0.375,0.8333333333333334,0.6666666666666666,DePaul ,7,11,14,22,18,8,5,16,25,76,0.0921052631578947,1.125,0.40789473684210525,0.42105263157894735,0.3684210526315789,0.6363636363636364,0.6363636363636364,3,4,5,4,5,2,3,3,5,24,0.2307692307692307,1.6666666666666667,0.6153846153846154,0.6153846153846154,0.5,1.0,1.6666666666666667,True,8
18,East Tennessee State ,11,17,11,19,16,8,3,15,19,82,0.171875,1.0666666666666669,2010,0.4375,0.3939393939393939,0.4838709677419355,0.6470588235294118,0.5789473684210527,4,7,3,6,7,2,0,5,4,30,0.3636363636363636,3.5,0.6666666666666666,1.0,0.625,1.0,inf,Xavier ,15,19,25,25,21,11,7,14,15,94,0.1829268292682926,1.5,0.43902439024390244,0.5178571428571429,0.2692307692307692,0.7894736842105263,1.0,7,10,13,8,8,3,5,5,4,31,1.0,4.0,0.8,1.0,0.6666666666666666,1.0,1.6666666666666667,False,9
19,Xavier ,15,19,25,25,21,11,7,14,15,94,0.1829268292682926,1.5,2010,0.43902439024390244,0.5178571428571429,0.2692307692307692,0.7894736842105263,1.0,7,10,13,8,8,3,5,5,4,31,1.0,4.0,0.8,1.0,0.6666666666666666,1.0,1.6666666666666667,East Tennessee State ,11,17,11,19,16,8,3,15,19,82,0.171875,1.0666666666666669,0.4375,0.3939393939393939,0.4838709677419355,0.6470588235294118,0.5789473684210527,4,7,3,6,7,2,0,5,4,30,0.3636363636363636,3.5,0.6666666666666666,1.0,0.625,1.0,inf,True,9
