,TEAM,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV,YEAR,FG_MAX,FGA_MAX,2P_MAX,2PA_MAX,3P_MAX,3PA_MAX,FT_MAX,FTA_MAX,ORB_MAX,DRB_MAX,AST_MAX,STL_MAX,BLK_MAX,TOV_MAX,PF_MAX,PTS_MAX,FT/FGA_MAX,AST/TOV_MAX,index_OPP,TEAM_OPP,FG_OPP,FGA_OPP,2P_OPP,2PA_OPP,3P_OPP,3PA_OPP,FT_OPP,FTA_OPP,ORB_OPP,DRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP,PTS_OPP,FT/FGA_OPP,AST/TOV_OPP,FG_MAX_OPP,FGA_MAX_OPP,2P_MAX_OPP,2PA_MAX_OPP,3P_MAX_OPP,3PA_MAX_OPP,FT_MAX_OPP,FTA_MAX_OPP,ORB_MAX_OPP,DRB_MAX_OPP,AST_MAX_OPP,STL_MAX_OPP,BLK_MAX_OPP,TOV_MAX_OPP,PF_MAX_OPP,PTS_MAX_OPP,FT/FGA_MAX_OPP,AST/TOV_MAX_OPP,WIN,GAME_ID
0,Austin Peay ,16,53,13,39,3,14,7,9,8,12,4,4,3,20,13,42,0.1320754716981132,0.2,2010,8,14,6,11,2,4,3,5,3,5,1,1,1,7,4,21,0.2222222222222222,0.3333333333333333,1,Tennessee ,31,67,26,48,5,19,8,13,21,25,18,6,5,13,14,75,0.1194029850746268,1.3846153846153846,9,13,9,11,4,12,4,6,8,7,4,2,2,4,5,18,0.5714285714285714,2.0,False,0
1,Tennessee ,31,67,26,48,5,19,8,13,21,25,18,6,5,13,14,75,0.1194029850746268,1.3846153846153846,2010,9,13,9,11,4,12,4,6,8,7,4,2,2,4,5,18,0.5714285714285714,2.0,0,Austin Peay ,16,53,13,39,3,14,7,9,8,12,4,4,3,20,13,42,0.1320754716981132,0.2,8,14,6,11,2,4,3,5,3,5,1,1,1,7,4,21,0.2222222222222222,0.3333333333333333,True,0
2,Baylor ,17,45,16,38,1,7,15,20,5,23,11,5,5,20,17,50,0.3333333333333333,0.55,2010,5,13,5,13,0,2,4,6,1,5,4,1,5,5,5,14,0.4,1.5,1,Connecticut ,28,67,25,50,3,17,11,19,12,23,20,6,3,7,15,70,0.1641791044776119,2.857142857142857,14,26,11,18,3,8,5,8,5,8,4,3,2,2,4,34,0.625,2.0,False,1
3,Connecticut ,28,67,25,50,3,17,11,19,12,23,20,6,3,7,15,70,0.1641791044776119,2.857142857142857,2010,14,26,11,18,3,8,5,8,5,8,4,3,2,2,4,34,0.625,2.0,0,Baylor ,17,45,16,38,1,7,15,20,5,23,11,5,5,20,17,50,0.3333333333333333,0.55,5,13,5,13,0,2,4,6,1,5,4,1,5,5,5,14,0.4,1.5,True,1
4,Baylor ,18,53,16,41,2,12,13,20,8,28,12,4,9,12,18,51,0.2452830188679245,1.0,2010,6,13,6,13,1,5,3,8,4,8,4,2,9,5,4,15,0.6666666666666666,1.0,1,Duke ,15,65,12,48,3,17,15,20,16,25,7,6,4,10,16,48,0.2307692307692307,0.7,4,18,3,11,1,7,7,8,3,4,2,4,1,4,5,16,0.3888888888888889,1.0,True,2
5,Duke ,15,65,12,48,3,17,15,20,16,25,7,6,4,10,16,48,0.2307692307692307,0.7,2010,4,18,3,11,1,7,7,8,3,4,2,4,1,4,5,16,0.3888888888888889,1.0,0,Baylor ,18,53,16,41,2,12,13,20,8,28,12,4,9,12,18,51,0.2452830188679245,1.0,6,13,6,13,1,5,3,8,4,8,4,2,9,5,4,15,0.6666666666666666,1.0,False,2
6,Baylor ,26,53,23,46,3,7,22,25,5,33,18,2,13,12,12,77,0.4150943396226415,1.5,2010,8,18,8,18,1,3,11,13,3,8,7,1,10,3,4,27,1.1428571428571428,2.0,1,Tennessee ,25,76,20,60,5,16,7,15,17,22,13,5,3,8,17,62,0.0921052631578947,1.625,7,22,6,16,2,6,3,6,5,5,7,1,2,2,4,18,0.1764705882352941,7.0,True,3
7,Tennessee ,25,76,20,60,5,16,7,15,17,22,13,5,3,8,17,62,0.0921052631578947,1.625,2010,7,22,6,16,2,6,3,6,5,5,7,1,2,2,4,18,0.1764705882352941,7.0,0,Baylor ,26,53,23,46,3,7,22,25,5,33,18,2,13,12,12,77,0.4150943396226415,1.5,8,18,8,18,1,3,11,13,3,8,7,1,10,3,4,27,1.1428571428571428,2.0,False,3
8,Bowling Green State ,19,51,8,29,11,22,13,22,10,24,12,5,1,16,15,62,0.2549019607843137,0.75,2010,5,13,3,6,5,8,6,6,4,8,7,2,1,3,3,19,0.6666666666666666,3.5,1,Michigan State ,28,68,24,52,4,16,12,14,15,27,16,8,2,10,20,72,0.1764705882352941,1.6,7,13,5,10,2,3,2,3,5,8,3,3,1,3,4,17,0.4,3.0,False,4
9,Michigan State ,28,68,24,52,4,16,12,14,15,27,16,8,2,10,20,72,0.1764705882352941,1.6,2010,7,13,5,10,2,3,2,3,5,8,3,3,1,3,4,17,0.4,3.0,0,Bowling Green State ,19,51,8,29,11,22,13,22,10,24,12,5,1,16,15,62,0.2549019607843137,0.75,5,13,3,6,5,8,6,6,4,8,7,2,1,3,3,19,0.6666666666666666,3.5,True,4
