,TEAM,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV,YEAR,FG_MAX,FGA_MAX,2P_MAX,2PA_MAX,3P_MAX,3PA_MAX,FT_MAX,FTA_MAX,ORB_MAX,DRB_MAX,AST_MAX,STL_MAX,BLK_MAX,TOV_MAX,PF_MAX,PTS_MAX,FT/FGA_MAX,AST/TOV_MAX,TEAM_OPP,FG_OPP,FGA_OPP,2P_OPP,2PA_OPP,3P_OPP,3PA_OPP,FT_OPP,FTA_OPP,ORB_OPP,DRB_OPP,AST_OPP,STL_OPP,BLK_OPP,TOV_OPP,PF_OPP,PTS_OPP,FT/FGA_OPP,AST/TOV_OPP,FG_MAX_OPP,FGA_MAX_OPP,2P_MAX_OPP,2PA_MAX_OPP,3P_MAX_OPP,3PA_MAX_OPP,FT_MAX_OPP,FTA_MAX_OPP,ORB_MAX_OPP,DRB_MAX_OPP,AST_MAX_OPP,STL_MAX_OPP,BLK_MAX_OPP,TOV_MAX_OPP,PF_MAX_OPP,PTS_MAX_OPP,FT/FGA_MAX_OPP,AST/TOV_MAX_OPP,FG%,2P%,3P%,FT%,RB_O2D,WIN,GAME_ID
11,Oklahoma State ,16,23,13,23,19,13,3,10,14,70,0.2285714285714285,1.9,2010,9,25,9,20,0,5,7,10,4,5,10,3,1,4,3,25,0.6666666666666666,10.0,Chattanooga ,23,60,13,26,10,34,7,11,10,30,12,4,1,23,17,63,0.1166666666666666,0.5217391304347826,6,13,6,12,4,8,2,5,3,8,3,2,1,5,4,15,1.0,0.6666666666666666,0.38571428571428573,0.4909090909090909,0.0,0.6956521739130435,0.5652173913043478,True,5
12,Cleveland State ,12,16,10,22,15,8,1,24,17,58,0.2033898305084746,0.625,2010,12,23,11,18,1,5,6,7,4,6,8,4,1,6,4,31,1.0,1.6,Notre Dame ,33,64,30,53,3,11,17,23,10,28,25,13,2,14,15,86,0.265625,1.7857142857142858,5,12,4,9,1,4,5,5,2,6,8,3,1,5,4,13,1.25,4.0,0.3728813559322034,0.45454545454545453,0.13333333333333333,0.75,0.45454545454545453,False,6
13,Notre Dame ,17,23,10,28,25,13,2,14,15,86,0.265625,1.7857142857142858,2010,5,12,4,9,1,4,5,5,2,6,8,3,1,5,4,13,1.25,4.0,Cleveland State ,22,59,20,44,2,15,12,16,10,22,15,8,1,24,17,58,0.2033898305084746,0.625,12,23,11,18,1,5,6,7,4,6,8,4,1,6,4,31,1.0,1.6,0.515625,0.5660377358490566,0.2727272727272727,0.7391304347826086,0.35714285714285715,True,6
14,Dayton ,6,10,8,25,9,6,5,15,16,64,0.0923076923076923,0.6,2010,8,11,8,9,2,3,2,3,2,9,3,1,2,3,5,17,0.25,1.0,Tennessee ,41,76,35,65,6,11,4,12,15,28,20,10,10,9,16,92,0.0526315789473684,2.2222222222222223,8,16,8,16,3,4,1,3,4,8,7,3,6,2,4,17,0.1428571428571428,4.0,0.4153846153846154,0.4423076923076923,0.3076923076923077,0.6,0.32,False,7
15,Tennessee ,4,12,15,28,20,10,10,9,16,92,0.0526315789473684,2.2222222222222223,2010,8,16,8,16,3,4,1,3,4,8,7,3,6,2,4,17,0.1428571428571428,4.0,Dayton ,27,65,23,52,4,13,6,10,8,25,9,6,5,15,16,64,0.0923076923076923,0.6,8,11,8,9,2,3,2,3,2,9,3,1,2,3,5,17,0.25,1.0,0.5394736842105263,0.5384615384615384,0.5454545454545454,0.3333333333333333,0.5357142857142857,True,7
16,DePaul ,7,11,14,22,18,8,5,16,25,76,0.0921052631578947,1.125,2010,10,19,8,14,3,6,3,4,5,4,5,2,3,3,5,24,0.2307692307692307,1.6666666666666667,Vanderbilt ,28,63,23,41,5,22,22,33,11,28,21,9,2,16,17,83,0.3492063492063492,1.3125,7,14,7,11,3,8,9,11,4,8,6,3,1,5,3,26,0.6428571428571429,3.0,0.40789473684210525,0.42105263157894735,0.3684210526315789,0.6363636363636364,0.6363636363636364,False,8
17,Vanderbilt ,22,33,11,28,21,9,2,16,17,83,0.3492063492063492,1.3125,2010,7,14,7,11,3,8,9,11,4,8,6,3,1,5,3,26,0.6428571428571429,3.0,DePaul ,31,76,24,57,7,19,7,11,14,22,18,8,5,16,25,76,0.0921052631578947,1.125,10,19,8,14,3,6,3,4,5,4,5,2,3,3,5,24,0.2307692307692307,1.6666666666666667,0.4444444444444444,0.5609756097560976,0.22727272727272727,0.6666666666666666,0.39285714285714285,True,8
18,East Tennessee State ,11,17,11,19,16,8,3,15,19,82,0.171875,1.0666666666666669,2010,11,18,6,10,5,8,4,7,3,6,7,2,0,5,4,30,0.3636363636363636,3.5,Xavier ,36,82,29,56,7,26,15,19,25,25,21,11,7,14,15,94,0.1829268292682926,1.5,15,23,15,21,2,11,7,10,13,8,8,3,5,5,4,31,1.0,4.0,0.4375,0.3939393939393939,0.4838709677419355,0.6470588235294118,0.5789473684210527,False,9
19,Xavier ,15,19,25,25,21,11,7,14,15,94,0.1829268292682926,1.5,2010,15,23,15,21,2,11,7,10,13,8,8,3,5,5,4,31,1.0,4.0,East Tennessee State ,28,64,13,33,15,31,11,17,11,19,16,8,3,15,19,82,0.171875,1.0666666666666669,11,18,6,10,5,8,4,7,3,6,7,2,0,5,4,30,0.3636363636363636,3.5,0.43902439024390244,0.5178571428571429,0.2692307692307692,0.7894736842105263,1.0,True,9
20,Florida State ,10,15,11,16,10,2,3,17,17,50,0.1587301587301587,0.5882352941176471,2010,6,14,6,14,1,5,3,4,4,4,6,1,2,5,5,15,0.2727272727272727,1.2,Connecticut ,32,60,26,48,6,12,20,25,12,28,23,7,8,17,16,90,0.3333333333333333,1.3529411764705883,8,16,8,16,2,4,4,8,5,9,7,2,4,4,2,22,0.3333333333333333,7.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.6666666666666666,0.6875,False,10
21,Connecticut ,20,25,12,28,23,7,8,17,16,90,0.3333333333333333,1.3529411764705883,2010,8,16,8,16,2,4,4,8,5,9,7,2,4,4,2,22,0.3333333333333333,7.0,Florida State ,18,63,14,49,4,14,10,15,11,16,10,2,3,17,17,50,0.1587301587301587,0.5882352941176471,6,14,6,14,1,5,3,4,4,4,6,1,2,5,5,15,0.2727272727272727,1.2,0.5333333333333333,0.5416666666666666,0.5,0.8,0.42857142857142855,True,10
22,Fresno State ,3,5,15,19,12,4,1,18,18,55,0.0491803278688524,0.6666666666666666,2010,5,17,3,6,3,11,1,1,4,3,3,4,0,6,5,13,0.3333333333333333,2.0,Baylor ,28,57,27,52,1,5,12,19,10,24,22,6,2,12,12,69,0.2105263157894736,1.8333333333333333,6,16,6,16,1,2,6,11,4,6,11,2,2,3,2,18,0.5,5.0,0.3442622950819672,0.4074074074074074,0.29411764705882354,0.6,0.7894736842105263,False,11
23,Baylor ,12,19,10,24,22,6,2,12,12,69,0.2105263157894736,1.8333333333333333,2010,6,16,6,16,1,2,6,11,4,6,11,2,2,3,2,18,0.5,5.0,Fresno State ,21,61,11,27,10,34,3,5,15,19,12,4,1,18,18,55,0.0491803278688524,0.6666666666666666,5,17,3,6,3,11,1,1,4,3,3,4,0,6,5,13,0.3333333333333333,2.0,0.49122807017543857,0.5192307692307693,0.2,0.631578947368421,0.4166666666666667,True,11
24,Georgetown ,6,10,15,23,9,8,5,13,24,33,0.0857142857142857,0.6923076923076923,2010,3,14,3,12,1,7,5,6,3,5,1,2,2,3,4,9,0.3571428571428571,1.0,Baylor ,16,42,16,38,0,4,17,27,7,37,10,8,16,20,10,49,0.4047619047619047,0.5,5,9,5,9,0,3,6,7,3,13,5,3,14,6,3,11,0.75,4.0,0.17142857142857143,0.17307692307692307,0.16666666666666666,0.6,0.6521739130434783,False,12
25,Baylor ,17,27,7,37,10,8,16,20,10,49,0.4047619047619047,0.5,2010,5,9,5,9,0,3,6,7,3,13,5,3,14,6,3,11,0.75,4.0,Georgetown ,12,70,9,52,3,18,6,10,15,23,9,8,5,13,24,33,0.0857142857142857,0.6923076923076923,3,14,3,12,1,7,5,6,3,5,1,2,2,3,4,9,0.3571428571428571,1.0,0.38095238095238093,0.42105263157894735,0.0,0.6296296296296297,0.1891891891891892,True,12
26,Georgia ,24,37,22,29,13,2,7,12,21,74,0.3809523809523809,1.0833333333333333,2010,7,21,5,12,3,9,11,13,9,7,4,1,2,3,5,27,0.75,2.0,Oklahoma State ,20,66,14,49,6,17,25,30,13,23,10,6,3,8,24,71,0.3787878787878788,1.25,9,31,7,21,3,10,11,14,3,8,7,4,1,2,5,31,2.0,3.5,0.3333333333333333,0.35135135135135137,0.3076923076923077,0.6486486486486487,0.7586206896551724,True,13
27,Oklahoma State ,25,30,13,23,10,6,3,8,24,71,0.3787878787878788,1.25,2010,9,31,7,21,3,10,11,14,3,8,7,4,1,2,5,31,2.0,3.5,Georgia ,21,63,13,37,8,26,24,37,22,29,13,2,7,12,21,74,0.3809523809523809,1.0833333333333333,7,21,5,12,3,9,11,13,9,7,4,1,2,3,5,27,0.75,2.0,0.30303030303030304,0.2857142857142857,0.35294117647058826,0.8333333333333334,0.5652173913043478,False,13
28,Georgia ,8,13,8,23,4,5,6,12,17,36,0.135593220338983,0.3333333333333333,2010,2,12,2,11,1,5,3,4,2,5,2,2,3,3,4,7,0.2727272727272727,1.0,Stanford ,28,66,23,49,5,17,12,15,16,33,19,4,3,11,10,73,0.1818181818181818,1.7272727272727273,6,13,6,12,2,6,5,5,5,10,5,2,2,2,2,17,0.4166666666666667,5.0,0.2033898305084746,0.21621621621621623,0.18181818181818182,0.6153846153846154,0.34782608695652173,False,14
29,Stanford ,12,15,16,33,19,4,3,11,10,73,0.1818181818181818,1.7272727272727273,2010,6,13,6,12,2,6,5,5,5,10,5,2,2,2,2,17,0.4166666666666667,5.0,Georgia ,12,59,8,37,4,22,8,13,8,23,4,5,6,12,17,36,0.135593220338983,0.3333333333333333,2,12,2,11,1,5,3,4,2,5,2,2,3,3,4,7,0.2727272727272727,1.0,0.42424242424242425,0.46938775510204084,0.29411764705882354,0.8,0.48484848484848486,True,14
30,Gonzaga ,14,18,10,26,15,11,8,17,12,72,0.2372881355932203,0.8823529411764706,2010,8,14,7,13,3,6,6,8,3,7,6,3,4,11,5,23,0.4285714285714285,2.5,Texas A&M ,30,66,27,56,3,10,8,15,13,25,16,15,8,18,15,71,0.1212121212121212,0.8888888888888888,8,12,7,11,1,3,1,2,4,10,5,4,2,7,3,17,0.0909090909090909,5.0,0.4406779661016949,0.425531914893617,0.5,0.7777777777777778,0.38461538461538464,True,15
31,Texas A&M ,8,15,13,25,16,15,8,18,15,71,0.1212121212121212,0.8888888888888888,2010,8,12,7,11,1,3,1,2,4,10,5,4,2,7,3,17,0.0909090909090909,5.0,Gonzaga ,26,59,20,47,6,12,14,18,10,26,15,11,8,17,12,72,0.2372881355932203,0.8823529411764706,8,14,7,13,3,6,6,8,3,7,6,3,4,11,5,23,0.4285714285714285,2.5,0.45454545454545453,0.48214285714285715,0.3,0.5333333333333333,0.52,False,15
32,Gonzaga ,11,15,8,16,13,12,5,16,14,56,0.1864406779661017,0.8125,2010,4,12,4,12,3,6,5,6,2,5,11,5,2,6,3,12,1.0,1.8333333333333333,Xavier ,28,58,21,43,7,15,11,16,13,25,17,8,5,21,13,74,0.1896551724137931,0.8095238095238095,10,13,10,13,2,2,3,4,8,9,6,4,2,6,3,22,0.375,2.5,0.3559322033898305,0.3829787234042553,0.25,0.7333333333333333,0.5,False,16
33,Xavier ,11,16,13,25,17,8,5,21,13,74,0.1896551724137931,0.8095238095238095,2010,10,13,10,13,2,2,3,4,8,9,6,4,2,6,3,22,0.375,2.5,Gonzaga ,21,59,18,47,3,12,11,15,8,16,13,12,5,16,14,56,0.1864406779661017,0.8125,4,12,4,12,3,6,5,6,2,5,11,5,2,6,3,12,1.0,1.8333333333333333,0.4827586206896552,0.4883720930232558,0.4666666666666667,0.6875,0.52,True,16
34,Green Bay ,10,10,4,26,15,3,2,18,20,56,0.2083333333333333,0.8333333333333334,2010,10,13,6,8,4,5,5,5,1,5,3,1,1,6,5,29,0.8,0.5,Iowa State ,19,51,11,27,8,24,14,21,8,23,13,5,3,9,12,60,0.2745098039215686,1.4444444444444444,5,18,3,7,3,11,6,8,3,5,7,2,2,2,4,15,0.5,3.5,0.4166666666666667,0.45161290322580644,0.35294117647058826,1.0,0.15384615384615385,False,17
35,Iowa State ,14,21,8,23,13,5,3,9,12,60,0.2745098039215686,1.4444444444444444,2010,5,18,3,7,3,11,6,8,3,5,7,2,2,2,4,15,0.5,3.5,Green Bay ,20,48,14,31,6,17,10,10,4,26,15,3,2,18,20,56,0.2083333333333333,0.8333333333333334,10,13,6,8,4,5,5,5,1,5,3,1,1,6,5,29,0.8,0.5,0.37254901960784315,0.4074074074074074,0.3333333333333333,0.6666666666666666,0.34782608695652173,True,17
36,Green Bay ,34,40,8,27,10,9,1,30,23,69,0.7727272727272727,0.3333333333333333,2010,5,10,5,9,0,3,13,15,4,7,3,4,1,6,5,23,1.625,1.0,Virginia ,25,67,23,57,2,10,15,23,14,20,10,22,3,19,28,67,0.2238805970149253,0.5263157894736842,14,27,13,24,1,3,5,6,3,6,2,6,2,4,4,34,0.1851851851851851,2.0,0.36363636363636365,0.41935483870967744,0.23076923076923078,0.85,0.2962962962962963,True,18
37,Virginia ,15,23,14,20,10,22,3,19,28,67,0.2238805970149253,0.5263157894736842,2010,14,27,13,24,1,3,5,6,3,6,2,6,2,4,4,34,0.1851851851851851,2.0,Green Bay ,16,44,13,31,3,13,34,40,8,27,10,9,1,30,23,69,0.7727272727272727,0.3333333333333333,5,10,5,9,0,3,13,15,4,7,3,4,1,6,5,23,1.625,1.0,0.373134328358209,0.40350877192982454,0.2,0.6521739130434783,0.7,False,18
38,Hampton ,3,8,7,19,4,6,4,16,20,37,0.0535714285714285,0.25,2010,3,13,3,13,1,5,1,2,1,5,3,2,3,6,5,8,0.1,0.5,Duke ,26,57,22,44,4,13,16,22,12,33,15,10,7,11,11,72,0.2807017543859649,1.3636363636363635,6,9,5,7,1,3,3,4,2,5,4,3,2,3,2,13,0.3333333333333333,3.0,0.26785714285714285,0.2682926829268293,0.26666666666666666,0.375,0.3684210526315789,False,19
39,Duke ,16,22,12,33,15,10,7,11,11,72,0.2807017543859649,1.3636363636363635,2010,6,9,5,7,1,3,3,4,2,5,4,3,2,3,2,13,0.3333333333333333,3.0,Hampton ,15,56,11,41,4,15,3,8,7,19,4,6,4,16,20,37,0.0535714285714285,0.25,3,13,3,13,1,5,1,2,1,5,3,2,3,6,5,8,0.1,0.5,0.45614035087719296,0.5,0.3076923076923077,0.7272727272727273,0.36363636363636365,True,19
40,Hartford ,4,7,6,23,12,7,5,14,18,39,0.074074074074074,0.8571428571428571,2010,5,9,5,8,0,5,2,4,4,4,3,2,3,4,4,12,0.2222222222222222,1.0,Louisiana State ,18,56,17,49,1,7,23,30,17,25,9,7,4,13,9,60,0.4107142857142857,0.6923076923076923,5,11,5,11,1,1,10,11,4,6,4,3,1,3,2,20,0.9090909090909092,1.3333333333333333,0.2962962962962963,0.35135135135135137,0.17647058823529413,0.5714285714285714,0.2608695652173913,False,20
41,Louisiana State ,23,30,17,25,9,7,4,13,9,60,0.4107142857142857,0.6923076923076923,2010,5,11,5,11,1,1,10,11,4,6,4,3,1,3,2,20,0.9090909090909092,1.3333333333333333,Hartford ,16,54,13,37,3,17,4,7,6,23,12,7,5,14,18,39,0.074074074074074,0.8571428571428571,5,9,5,8,0,5,2,4,4,4,3,2,3,4,4,12,0.2222222222222222,1.0,0.32142857142857145,0.3469387755102041,0.14285714285714285,0.7666666666666667,0.68,True,20
42,Iowa ,6,9,10,17,13,5,2,14,13,67,0.0983606557377049,0.9285714285714286,2010,11,16,9,13,2,6,3,4,1,6,3,2,1,5,4,27,0.3333333333333333,1.5,Stanford ,36,64,25,46,11,18,13,19,14,19,26,6,4,16,11,96,0.203125,1.625,9,14,9,14,7,9,5,6,5,4,7,2,2,4,2,26,0.6666666666666666,7.0,0.4426229508196721,0.5263157894736842,0.30434782608695654,0.6666666666666666,0.5882352941176471,False,21
43,Stanford ,13,19,14,19,26,6,4,16,11,96,0.203125,1.625,2010,9,14,9,14,7,9,5,6,5,4,7,2,2,4,2,26,0.6666666666666666,7.0,Iowa ,27,61,20,38,7,23,6,9,10,17,13,5,2,14,13,67,0.0983606557377049,0.9285714285714286,11,16,9,13,2,6,3,4,1,6,3,2,1,5,4,27,0.3333333333333333,1.5,0.5625,0.5434782608695652,0.6111111111111112,0.6842105263157895,0.7368421052631579,True,21
44,Iowa State ,0,0,5,23,10,3,1,17,11,36,0.0,0.5882352941176471,2010,4,14,4,8,2,6,0,0,3,6,3,2,1,5,2,10,0.0,0.6,Connecticut ,26,66,15,40,11,26,11,13,11,29,22,7,6,9,10,74,0.1666666666666666,2.4444444444444446,9,15,5,13,5,7,6,7,3,5,4,3,2,1,2,25,0.4615384615384615,4.0,0.2830188679245283,0.32142857142857145,0.24,0.0,0.21739130434782608,False,22
45,Connecticut ,11,13,11,29,22,7,6,9,10,74,0.1666666666666666,2.4444444444444446,2010,9,15,5,13,5,7,6,7,3,5,4,3,2,1,2,25,0.4615384615384615,4.0,Iowa State ,15,53,9,28,6,25,0,0,5,23,10,3,1,17,11,36,0.0,0.5882352941176471,4,14,4,8,2,6,0,0,3,6,3,2,1,5,2,10,0.0,0.6,0.3939393939393939,0.375,0.4230769230769231,0.8461538461538461,0.3793103448275862,True,22
46,James Madison ,7,15,15,23,9,11,1,19,14,53,0.1186440677966101,0.4736842105263157,2010,6,20,4,11,2,9,4,4,4,6,3,3,1,7,3,18,0.3,0.2857142857142857,Temple ,24,57,18,40,6,17,11,16,10,20,11,10,7,17,12,65,0.1929824561403508,0.6470588235294118,6,15,5,10,2,5,2,5,4,8,5,6,3,6,4,15,0.25,2.5,0.3559322033898305,0.4146341463414634,0.2222222222222222,0.4666666666666667,0.6521739130434783,False,23
47,Temple ,11,16,10,20,11,10,7,17,12,65,0.1929824561403508,0.6470588235294118,2010,6,15,5,10,2,5,2,5,4,8,5,6,3,6,4,15,0.25,2.5,James Madison ,21,59,17,41,4,18,7,15,15,23,9,11,1,19,14,53,0.1186440677966101,0.4736842105263157,6,20,4,11,2,9,4,4,4,6,3,3,1,7,3,18,0.3,0.2857142857142857,0.42105263157894735,0.45,0.35294117647058826,0.6875,0.5,True,23
48,Kentucky ,6,12,11,22,15,10,3,15,21,76,0.0967741935483871,1.0,2010,9,18,7,14,3,6,4,9,2,5,7,4,2,5,4,21,0.3076923076923077,7.0,Nebraska ,24,51,19,39,5,12,14,20,5,15,10,5,2,16,15,67,0.2745098039215686,0.625,8,13,7,12,2,5,5,8,4,8,3,1,2,4,5,22,0.4166666666666667,0.75,0.5,0.5,0.5,0.5,0.5,True,24
49,Nebraska ,14,20,5,15,10,5,2,16,15,67,0.2745098039215686,0.625,2010,8,13,7,12,2,5,5,8,4,8,3,1,2,4,5,22,0.4166666666666667,0.75,Kentucky ,31,62,23,46,8,16,6,12,11,22,15,10,3,15,21,76,0.0967741935483871,1.0,9,18,7,14,3,6,4,9,2,5,7,4,2,5,4,21,0.3076923076923077,7.0,0.47058823529411764,0.48717948717948717,0.4166666666666667,0.7,0.3333333333333333,False,24
50,Kentucky ,20,22,18,13,6,12,0,14,17,68,0.2857142857142857,0.4285714285714285,2010,10,18,10,18,1,7,11,12,8,5,3,4,0,8,4,31,0.6111111111111112,1.5,Oklahoma ,32,52,27,37,5,15,19,21,8,27,15,8,2,21,18,88,0.3653846153846153,0.7142857142857143,12,17,9,11,3,7,4,5,3,11,6,5,1,6,5,31,0.3636363636363636,1.0,0.32857142857142857,0.39622641509433965,0.11764705882352941,0.9090909090909091,1.3846153846153846,False,25
51,Oklahoma ,19,21,8,27,15,8,2,21,18,88,0.3653846153846153,0.7142857142857143,2010,12,17,9,11,3,7,4,5,3,11,6,5,1,6,5,31,0.3636363636363636,1.0,Kentucky ,23,70,21,53,2,17,20,22,18,13,6,12,0,14,17,68,0.2857142857142857,0.4285714285714285,10,18,10,18,1,7,11,12,8,5,3,4,0,8,4,31,0.6111111111111112,1.5,0.6153846153846154,0.7297297297297297,0.3333333333333333,0.9047619047619048,0.2962962962962963,True,25
52,Lamar ,6,10,4,24,11,7,2,21,17,43,0.1153846153846153,0.5238095238095238,2010,6,13,6,11,3,10,3,4,3,7,4,3,1,7,5,15,1.0,0.75,West Virginia ,22,58,18,38,4,20,10,19,15,30,12,13,1,22,12,58,0.1724137931034483,0.5454545454545454,6,17,5,11,2,8,2,4,5,8,6,5,1,6,4,15,0.4,1.5,0.3076923076923077,0.3548387096774194,0.23809523809523808,0.6,0.16666666666666666,False,26
53,West Virginia ,10,19,15,30,12,13,1,22,12,58,0.1724137931034483,0.5454545454545454,2010,6,17,5,11,2,8,2,4,5,8,6,5,1,6,4,15,0.4,1.5,Lamar ,16,52,11,31,5,21,6,10,4,24,11,7,2,21,17,43,0.1153846153846153,0.5238095238095238,6,13,6,11,3,10,3,4,3,7,4,3,1,7,5,15,1.0,0.75,0.3793103448275862,0.47368421052631576,0.2,0.5263157894736842,0.5,True,26
