,South Dakota ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kyah Watson,2,12,1,5,1,7,1,2,0,3,4,1,0,2,2,6,0.08333333333333333,2.0
1,Liv Korngable,3,13,3,10,0,3,0,0,0,0,4,1,0,1,2,6,0.0,4.0
2,Maddie Krull,1,4,0,0,1,4,2,4,1,6,1,0,0,3,2,5,0.5,0.3333333333333333
3,Chloe Lamb,3,7,3,5,0,2,0,0,1,2,2,2,0,2,2,6,0.0,1.0
4,Hannah Sjerven,7,11,7,10,0,1,3,4,1,7,1,0,0,1,5,17,0.2727272727272727,1.0
8,School Totals,19,52,14,32,5,20,6,10,6,19,12,5,0,10,16,49,0.11538461538461539,1.2
