,Michigan ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Naz Hillmon,6,12,6,12,0,0,5,5,6,4,3,0,1,4,3,17,0.4166666666666667,0.75
1,Emily Kiser,2,5,2,3,0,2,0,0,3,6,0,0,0,1,4,4,0.0,0.0
2,Maddie Nolan,1,10,0,1,1,9,0,0,0,0,2,1,0,1,0,3,0.0,2.0
3,Danielle Rauch,0,2,0,0,0,2,0,0,0,6,1,2,0,1,0,0,0.0,1.0
4,Laila Phelia,5,7,3,4,2,3,2,4,0,0,0,0,0,2,1,14,0.2857142857142857,0.0
10,School Totals,20,52,17,35,3,17,9,11,11,24,10,5,2,12,17,52,0.17307692307692307,0.8333333333333334
