,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
,Unnamed: 0_level_1,1,2,3,4,OT,T
0,Michigan,13,10,17,23,12,75
1,Baylor,16,13,18,16,15,78
