,George Washington ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Hannah Schaible,5,17,5,15,0,2,3,5,1,6,1,1,0,2,4,13,0.17647058823529413,0.5
1,Shannon Cranshaw,4,11,1,2,3,9,0,2,2,1,2,2,0,2,2,11,0.0,1.0
2,Jonquel Jones,4,15,3,10,1,5,2,5,7,7,1,2,2,2,4,11,0.13333333333333333,0.5
3,Chakecia Miller,0,2,0,2,0,0,3,4,0,2,3,1,0,5,2,3,1.5,0.6
4,Caira Washington,1,6,1,6,0,0,3,5,3,1,0,1,0,1,5,5,0.5,0.0
11,School Totals,22,75,17,56,5,19,20,32,23,22,14,10,5,19,24,69,0.26666666666666666,0.7368421052631579
