,Syracuse ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kiara Lewis,5,18,3,10,2,8,2,3,0,1,5,2,0,1,2,14,0.1111111111111111,5.0
1,Digna Strautmane,5,10,2,3,3,7,0,0,4,6,2,3,2,2,2,13,0.0,1.0
2,Tiana Mangakahia,4,9,1,1,3,8,0,0,0,3,7,1,0,6,0,11,0.0,1.1666666666666667
3,Emily Engstler,6,14,2,6,4,8,2,4,1,11,1,6,4,0,3,18,0.14285714285714285,0.0
4,Kamilla Cardoso,4,9,4,9,0,0,4,6,1,2,0,1,6,0,2,12,0.4444444444444444,0.0
7,School Totals,25,68,13,37,12,31,10,15,9,26,15,13,14,11,11,72,0.14705882352941177,1.3636363636363635
