,Indiana ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Grace Berger,5,13,5,12,0,1,2,4,0,12,5,2,0,3,2,12,0.15384615384615385,1.6666666666666667
1,Ali Patberg,7,15,6,10,1,5,2,5,1,2,5,1,0,1,1,17,0.13333333333333333,5.0
2,Aleksa Gulbe,5,8,5,6,0,2,1,1,3,7,0,2,0,1,3,11,0.125,0.0
3,Nicole Cardano-Hillary,5,15,4,9,1,6,3,3,1,2,2,4,0,1,2,14,0.2,2.0
4,MacKenzie Holmes,8,13,8,13,0,0,0,0,1,3,0,1,2,2,5,16,0.0,0.0
9,School Totals,31,65,29,51,2,14,9,17,8,27,13,10,2,9,15,73,0.13846153846153847,1.4444444444444444
