,NC State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kai Crutchfield,3,4,0,1,3,3,0,0,0,7,3,1,0,2,2,9,0.0,1.5
1,Elissa Cunane,6,15,5,11,1,4,2,3,0,12,5,0,1,5,2,15,0.13333333333333333,1.0
2,Raina Perez,7,9,5,6,2,3,1,2,0,1,2,0,0,5,1,17,0.1111111111111111,0.4
3,Jakia Brown-Turner,3,13,2,8,1,5,2,2,0,4,1,0,0,2,3,9,0.15384615384615385,0.5
4,Jada Boyd,8,12,6,10,2,2,0,0,0,2,2,0,0,2,5,18,0.0,1.0
9,School Totals,28,56,19,37,9,19,5,7,0,28,15,1,1,17,16,70,0.08928571428571429,0.8823529411764706
