,Fresno State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Rosie Moult,4,17,1,3,3,14,1,2,3,7,3,3,1,2,2,12,0.058823529411764705,1.5
1,Taylor Thompson,1,4,1,3,0,1,0,0,1,4,2,0,0,2,3,2,0.0,1.0
2,KiKi Moore,9,16,6,9,3,7,1,5,2,6,1,1,0,5,3,22,0.0625,0.2
3,Blakely Goldberg,2,4,1,2,1,2,1,2,3,0,3,0,0,1,3,6,0.25,3.0
4,Alex Sheedy,2,6,2,5,0,1,0,0,1,0,0,0,0,2,1,4,0.0,0.0
8,School Totals,18,53,11,24,7,29,13,19,12,22,13,7,1,19,17,56,0.24528301886792453,0.6842105263157895
