,Georgetown ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Latia Magee,5,11,5,11,0,0,7,8,1,5,1,2,0,0,0,17,0.6363636363636364,0.0
1,Rubylee Wright,2,5,1,3,1,2,0,0,0,0,2,3,0,2,1,5,0.0,1.0
2,Adria Crawford,5,13,5,13,0,0,1,1,2,7,0,2,0,2,4,11,0.07692307692307693,0.0
3,Sugar Rodgers,4,7,2,5,2,2,1,4,1,1,1,2,1,3,2,11,0.14285714285714285,0.3333333333333333
4,Sydney Wilson,1,9,1,9,0,0,0,0,3,2,1,0,0,1,2,2,0.0,1.0
13,School Totals,22,59,17,49,5,10,12,19,11,20,10,11,1,14,15,61,0.2033898305084746,0.7142857142857143
