,Michigan State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Annalise Pickrel,7,7,4,4,3,3,4,4,0,6,1,2,2,2,1,21,0.5714285714285714,0.5
1,Tori Jankoska,3,10,2,4,1,6,4,6,0,2,3,0,0,0,5,11,0.4,0.0
2,Klarissa Bell,0,2,0,0,0,2,4,4,1,3,7,2,3,4,1,4,2.0,1.75
3,Aerial Powers,10,18,9,14,1,4,5,9,3,15,2,2,2,5,3,26,0.2777777777777778,0.4
4,Becca Mills,5,8,4,6,1,2,1,1,2,0,0,0,1,1,3,12,0.125,0.0
10,School Totals,32,61,26,43,6,18,21,28,9,40,18,8,9,19,17,91,0.3442622950819672,0.9473684210526315
