,Connecticut ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kelly Faris,2,2,1,1,1,1,0,0,1,6,4,0,0,0,0,5,0.0,0.0
1,Stefanie Dolson,2,4,2,4,0,0,0,0,2,3,1,3,3,3,2,4,0.0,0.3333333333333333
2,Bria Hartley,6,12,4,6,2,6,2,2,0,2,3,3,0,3,1,16,0.16666666666666666,1.0
3,Caroline Doty,1,3,1,2,0,1,2,2,0,1,2,1,0,4,2,4,0.6666666666666666,0.5
4,Tiffany Hayes,4,7,2,3,2,4,1,2,1,8,4,3,0,6,2,11,0.14285714285714285,0.6666666666666666
10,School Totals,28,55,21,35,7,20,9,12,12,30,15,11,6,16,9,72,0.16363636363636364,0.9375
