,Kansas State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brittany Chambers,4,16,1,4,3,12,0,0,3,3,0,2,0,5,0,11,0.0,0.0
1,Mariah White,0,2,0,0,0,2,0,1,0,3,1,2,1,2,1,0,0.0,0.5
2,Branshea Brown,1,9,1,9,0,0,0,2,1,3,0,1,0,0,2,2,0.0,0.0
3,Jalana Childs,2,9,2,7,0,2,2,2,5,1,0,0,0,3,3,6,0.2222222222222222,0.0
4,Tasha Dickey,1,12,0,4,1,8,0,0,1,4,0,3,0,3,0,3,0.0,0.0
10,School Totals,10,57,6,31,4,26,2,5,13,15,3,9,2,18,8,26,0.03508771929824561,0.16666666666666666
