,Navy ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Angela Myers,5,10,3,6,2,4,1,3,1,2,3,3,0,7,3,13,0.1,0.42857142857142855
1,Jade Geif,6,9,6,9,0,0,2,5,4,8,0,0,0,1,5,14,0.2222222222222222,0.0
2,Alix Membreno,2,5,1,3,1,2,2,2,2,1,1,0,0,2,2,7,0.4,0.5
3,Erin Edwards,0,3,0,0,0,3,0,0,0,0,2,1,0,3,1,0,0.0,0.6666666666666666
4,Cassie Consedine,2,8,1,1,1,7,0,0,0,7,0,1,1,6,0,5,0.0,0.0
8,School Totals,16,41,12,22,4,19,7,12,7,23,9,5,1,21,12,43,0.17073170731707318,0.42857142857142855
