,Mississippi State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jazzmun Holmes,4,6,4,6,0,0,2,3,2,5,3,1,1,0,0,10,0.3333333333333333,0.0
1,Anriel Howard,7,13,6,12,1,1,8,10,6,6,1,1,0,0,0,23,0.6153846153846154,0.0
2,Teaira McCowan,7,11,7,10,0,1,8,9,5,11,1,2,0,1,1,22,0.7272727272727273,1.0
3,Jordan Danberry,6,8,6,8,0,0,1,3,0,2,2,3,0,1,2,13,0.125,2.0
4,Andra Espinoza-Hunter,3,7,1,3,2,4,0,0,0,1,1,1,0,1,1,8,0.0,1.0
10,School Totals,36,68,33,55,3,13,28,37,16,31,13,17,3,13,12,103,0.4117647058823529,1.0
