,Vanderbilt ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jence Rhoads,8,18,6,15,2,3,2,3,1,0,7,3,1,2,1,20,0.1111111111111111,3.5
1,Merideth Marsh,3,11,1,3,2,8,3,3,1,3,1,1,0,3,1,11,0.2727272727272727,0.3333333333333333
2,Hannah Tuomi,4,9,4,9,0,0,2,2,5,6,5,1,0,2,3,10,0.2222222222222222,2.5
3,Gabby Smith,3,6,1,2,2,4,0,0,1,0,0,0,0,2,1,8,0.0,0.0
4,Tiffany Clarke,1,1,1,1,0,0,0,0,0,3,0,0,0,1,2,2,0.0,0.0
8,School Totals,23,55,16,35,7,20,9,10,13,20,15,6,2,15,11,62,0.16363636363636364,1.0
