,Xavier ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Amber Harris,10,18,10,17,0,1,1,2,4,3,3,1,0,1,3,21,0.05555555555555555,3.0
1,Special Jennings,0,10,0,5,0,5,1,2,1,1,9,2,0,3,2,1,0.1,3.0
2,Ta'Shia Phillips,7,11,7,11,0,0,1,2,11,6,1,2,1,0,1,15,0.09090909090909091,0.0
3,Tyeasha Moss,1,6,0,2,1,4,0,0,2,0,1,0,0,0,1,3,0.0,0.0
4,April Phillips,1,6,1,5,0,1,0,0,1,1,0,1,0,2,2,2,0.0,0.0
8,School Totals,27,69,23,48,4,21,5,9,21,17,17,9,1,8,14,63,0.07246376811594203,2.125
