,Kentucky ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Victoria Dunlap,7,13,7,12,0,1,4,9,2,5,3,0,1,4,2,18,0.3076923076923077,0.75
1,A'dia Mathies,9,18,6,14,3,4,0,0,2,2,0,3,2,2,4,21,0.0,0.0
2,Keyla Snowden,5,10,2,4,3,6,0,0,0,4,1,1,0,5,4,13,0.0,0.2
3,Amber Smith,3,8,3,7,0,1,0,0,2,2,7,4,0,1,3,6,0.0,7.0
4,Amani Franklin,2,5,1,3,1,2,0,1,1,5,0,1,0,1,4,5,0.0,0.0
8,School Totals,31,62,23,46,8,16,6,12,11,22,15,10,3,15,21,76,0.0967741935483871,1.0
