,Nebraska ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kelsey Griffin,5,12,5,12,0,0,5,5,4,8,2,1,2,3,3,15,0.4166666666666667,0.6666666666666666
1,Lindsey Moore,4,8,2,5,2,3,0,0,0,2,2,1,0,3,1,10,0.0,0.6666666666666666
2,Dominique Kelley,8,13,7,12,1,1,5,8,1,1,3,1,0,4,2,22,0.38461538461538464,0.75
3,Yvonne Turner,1,8,0,3,1,5,1,3,0,1,2,1,0,4,5,4,0.125,0.5
4,Cory Montgomery,6,9,5,7,1,2,1,2,0,1,0,0,0,2,1,14,0.1111111111111111,0.0
8,School Totals,24,51,19,39,5,12,14,20,5,15,10,5,2,16,15,67,0.27450980392156865,0.625
