,Alabama ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jordan Lewis,11,21,7,14,4,7,6,8,4,7,8,1,0,4,2,32,0.2857142857142857,2.0
1,Megan Abrams,2,7,1,5,1,2,3,4,0,5,6,1,1,2,1,8,0.42857142857142855,3.0
2,Hannah Barber,5,8,1,1,4,7,0,0,0,2,4,1,0,3,2,14,0.0,1.3333333333333333
3,Jasmine Walker,5,15,3,10,2,5,1,1,4,5,1,1,1,2,2,13,0.06666666666666667,0.5
4,Ariyah Copeland,5,9,5,9,0,0,1,1,4,8,0,0,2,2,3,11,0.1111111111111111,0.0
9,School Totals,29,63,18,41,11,22,11,14,12,30,21,4,4,13,13,80,0.1746031746031746,1.6153846153846154
