,Belmont ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kylee Smith,7,16,6,9,1,7,1,2,0,2,3,2,0,2,1,16,0.0625,1.5
1,Darby Maggard,3,8,2,5,1,3,1,1,0,2,4,2,0,3,0,8,0.125,1.3333333333333333
2,Jenny Roy,1,6,0,4,1,2,0,0,3,6,0,0,0,1,3,3,0.0,0.0
3,Sally McCabe,0,8,0,6,0,2,0,0,1,1,4,0,1,0,3,0,0.0,0.0
4,Lauren Thompson,1,2,1,2,0,0,0,0,0,1,0,0,1,0,1,2,0.0,0.0
11,School Totals,22,56,16,38,6,18,10,14,5,22,12,4,2,9,12,60,0.17857142857142858,1.3333333333333333
