,Idaho State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Ashleigh Vella,3,10,2,6,1,4,5,7,2,5,0,3,2,1,2,12,0.5,0.0
1,Kaela Oakes,1,10,1,4,0,6,1,2,0,1,1,0,0,4,1,3,0.1,0.25
2,Lindsey Reed,2,11,2,6,0,5,2,2,3,0,3,1,0,6,5,6,0.18181818181818182,0.5
3,Chelsea Pickering,3,10,2,6,1,4,2,2,3,2,1,2,0,3,1,9,0.2,0.3333333333333333
4,Cydney Horton,1,6,1,6,0,0,1,2,2,1,0,0,3,1,4,3,0.16666666666666666,0.0
13,School Totals,13,52,10,32,3,20,12,17,13,14,6,9,6,20,18,42,0.23076923076923078,0.3
